Uni Name,Country,State,Exact Location,Official website url,Rank in QS Rankings,Average Fee per semester in AUD,IELTS overall,IELTS reading,IELTS listening,IELTS writing,IELTS speaking,IELTS valid duration,TOEFL IBT overall,TOEFL IBT listening,TOEFL IBT reading,TOEFL IBT speaking,TOEFL IBT writing,PTE overall,PTE speaking & writing,PTE reading,PTE listening,Minimum GPA required,Aggregate 12 percentage,Application Fee,Scholarship Offered To Internation Students With Links,Average Fee per year in AUD,minimum IELTS overall,minimum TOEFL IBT overall,minimum PTE overall,High School Qualifications Accepted,ATAR,Avg Internation Baccalaureate Diploma (IB) Grade,UK GCE A Levels,IB Diploma,UK A-levels
Monash University,Australia,Victoria,"
Wellington Road
Clayton , Victoria 3800",https://www.monash.edu/,,"$39,100.00",6.5,,,,,,88.0,10.0,10.0,16.0,52.0,42,,,,,,,,,,,,,,,,,
RMIT University,Australia,Victoria,"
124 La Trobe Street
Melbourne, Victoria 3000

",https://www.rmit.edu.au/,,"AU$28,500",5.5,,,,,,60.0,5.0,5.0,14.0,15.0,50,,,,,,,https://www.rmit.edu.au/study-with-us/international-students/apply-to-rmit-international-students/fees-and-scholarships/scholarships,,,,,,,,,,
Swinburne University of Technology,Australia,Victoria,"
John Street
Hawthorn , Victoria 3122
",https://www.swinburne.edu.au/,,"$31,220.00",6.0,,,,,,60.0,9.0,10.0,16.0,19.0,50,(no communicative skill less than 45),,,,,,https://www.swinburne.edu.au/courses/scholarships/international-scholarships/,,,,,,,,,,
The University of Melbourne,Australia,Victoria,"
Swanston Street, Parkville
Melbourne, Victoria 3010",https://www.unimelb.edu.au/,,"$36,832.00",6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria University,Australia,Victoria,"
73 Queen's Park Crescent
Melbourne, Victoria 8001",https://www.vu.edu.au/,,"	$26,400.00",6.0,6.0,6.0,6.0,6.0,,67.0,12.0,15.0,18.0,21.0,50-57,50,50.0,50.0,,,,https://www.vu.edu.au/study-at-vu/fees-scholarships/scholarships/international-scholarships,,,,,,,,,,
Curtin University,Australia,Western Australia,"
Kent Street, Bentley
Perth , Western Australia 6845",https://www.curtin.edu.au/,,"$34,000.00",6.5,6.0,6.0,6.0,6.0,2 years,79.0,13.0,13.0,18.0,21.0,58,50,50.0,50.0,,,,,,,,,,,,,,
Edith Cowan University,Australia,Western Australia,"
270 Joondalup Drive
Joondalup, Western Australia 6027
",https://www.ecu.edu.au/,,"$27,600.00",6.0,,,,,,70.0,17.0,17.0,17.0,17.0,52,50,50.0,50.0,,,,https://www.ecu.edu.au/scholarships/details/search?query=&sort=metasortenddate&collection=ecu-web-scholarships&form=simple-facet&num_ranks=200&f.Course+level|sect=Undergraduate&f.Residency|res=International,,,,,,,,,,
Murdoch University,Australia,Western Australia,"
South Street
Murdoch , Western Australia 6150",https://www.murdoch.edu.au/,,"$31,065.00",6.5,,,,,,94.0,27.0,27.0,27.0,27.0,68,68,68.0,68.0,,Minimum grade of B (60-69%),,,,,,,,,,,,
The University of Notre Dame Australia,Australia,Western Australia,"
19 Mouat Street
Fremantle, Western Australia 6959",https://www.notredame.edu.au/,,"$37,071.00",6.5,,,,,,73.0,18.0,18.0,18.0,18.0,50,50,50.0,50.0,,,,,,,,,,,,,,
The University of Western Australia,Australia,Western Australia,"
35 Stirling Highway
Crawley, Western Australia 6009",https://www.uwa.edu.au/,90th,"$38,310.00",6.5,,,,,,82.0,20.0,18.0,20.0,22.0,64,59,54.0,54.0,,,,,,,,,,,,,,
